Date,Open,High,Low,Close,Adj Close,Volume
2023-09-20,610.250000,618.849976,593.599976,602.549988,602.549988,383776
2023-09-21,599.849976,611.650024,597.099976,604.750000,604.750000,211237
2023-09-22,604.849976,610.950012,591.250000,598.400024,598.400024,200258
2023-09-25,597.849976,613.849976,591.799988,609.650024,609.650024,204801
2023-09-26,609.950012,618.150024,600.700012,604.549988,604.549988,221485
2023-09-27,604.549988,611.250000,601.150024,604.950012,604.950012,127381
2023-09-28,606.000000,625.000000,598.099976,601.849976,601.849976,228635
2023-09-29,603.150024,609.700012,599.500000,602.599976,602.599976,314996
2023-10-03,602.000000,620.000000,592.099976,618.099976,618.099976,377953
2023-10-04,620.099976,630.849976,606.200012,626.049988,626.049988,502708
2023-10-05,638.000000,677.799988,631.099976,671.299988,671.299988,3114305
2023-10-06,671.299988,683.000000,665.099976,667.700012,667.700012,1327215
2023-10-09,697.000000,700.950012,663.849976,670.500000,670.500000,2684389
2023-10-10,670.500000,796.400024,666.950012,727.500000,727.500000,9717755
2023-10-11,727.000000,755.349976,713.299988,723.799988,723.799988,4322262
2023-10-12,723.799988,729.799988,717.349976,724.049988,724.049988,587276
2023-10-13,715.950012,728.049988,711.099976,716.049988,716.049988,477912
2023-10-16,725.700012,735.000000,717.000000,721.400024,721.400024,865344
2023-10-17,727.500000,729.950012,711.099976,714.250000,714.250000,299083
2023-10-18,716.900024,738.450012,712.349976,732.750000,732.750000,904831
2023-10-19,728.900024,738.900024,717.049988,734.250000,734.250000,475063
2023-10-20,731.099976,754.200012,726.099976,743.799988,743.799988,1076512
2023-10-23,745.400024,757.900024,711.000000,746.400024,746.400024,1239894
2023-10-25,743.000000,809.799988,715.049988,757.849976,757.849976,3739552
2023-10-26,754.950012,819.599976,723.150024,784.349976,784.349976,1536873
2023-10-27,784.349976,787.849976,736.049988,748.099976,748.099976,1872390
2023-10-30,743.000000,763.900024,733.750000,751.299988,751.299988,670629
2023-10-31,752.450012,778.500000,736.799988,765.700012,765.700012,1020355
2023-11-01,756.000000,774.000000,738.000000,749.849976,749.849976,1297233
2023-11-02,749.849976,764.950012,742.000000,747.099976,747.099976,759721
2023-11-03,751.700012,787.000000,750.049988,780.150024,780.150024,2067814
2023-11-06,780.049988,805.500000,773.000000,800.599976,800.599976,1474546
2023-11-07,800.549988,817.500000,781.000000,791.000000,791.000000,1142035
2023-11-08,830.000000,848.000000,818.349976,832.750000,832.750000,2500450
2023-11-09,836.500000,878.000000,830.049988,868.450012,868.450012,3043326
2023-11-10,865.049988,887.400024,853.200012,873.150024,873.150024,1949702
2023-11-13,864.099976,866.599976,840.000000,843.000000,843.000000,762389
2023-11-15,855.099976,880.549988,852.000000,872.650024,872.650024,915985
2023-11-16,876.900024,924.900024,873.049988,912.200012,912.200012,1101486
2023-11-17,910.000000,910.000000,872.349976,878.049988,878.049988,789275
2023-11-20,880.599976,908.599976,872.099976,892.049988,892.049988,1189371
2023-11-21,893.000000,914.900024,891.000000,904.750000,904.750000,562402
2023-11-22,902.500000,912.900024,895.200012,905.700012,905.700012,506903
2023-11-23,903.000000,957.400024,903.000000,916.750000,916.750000,2092379
2023-11-24,924.750000,931.000000,893.549988,925.049988,925.049988,1335321
2023-11-28,932.000000,968.000000,930.599976,956.700012,956.700012,611069
2023-11-29,964.950012,966.299988,945.000000,952.599976,952.599976,360464
2023-11-30,959.700012,1050.000000,953.450012,1002.900024,1002.900024,3306553
2023-12-01,1018.549988,1048.699951,1016.799988,1037.800049,1037.800049,1625407
