date,rank,symbol,ltp,pct_chg,volume,value_cr,scan_clause,name,pct_change,tag,source,fetched_at,close,close_x_volume
2026-07-03,13,FABTECH,170.62,5.55,1137909.0,19.42,t0_5pct_liq1cr,Fabtech Technologies Ltd,5.55,t0_5pct_liq1cr,,,,
2026-07-03,14,DIGITIDE,100.07,12.95,1838545.0,18.4,t0_5pct_liq1cr,Digitide Solutions Ltd,12.95,t0_5pct_liq1cr,,,,
2026-07-03,15,TMB,785.5,5.28,195656.0,15.37,t0_5pct_liq1cr,Tamilnad Mercantile Bank,5.28,t0_5pct_liq1cr,,,,
2026-07-03,16,GANECOS,974.5,6.02,150608.0,14.68,t0_5pct_liq1cr,Ganesha Ecosphere Ltd,6.02,t0_5pct_liq1cr,,,,
2026-07-03,17,PATELRMART,236.1,9.84,501230.0,11.83,t0_5pct_liq1cr,Patel Retail Ltd,9.84,t0_5pct_liq1cr,,,,
2026-07-03,18,KOTHARIPET,135.63,9.46,871084.0,11.81,t0_5pct_liq1cr,Kothari Petrochemicals,9.46,t0_5pct_liq1cr,,,,
2026-07-03,19,SEIL,230.47,5.22,476693.0,10.99,t0_5pct_liq1cr,Shanti Educational,5.22,t0_5pct_liq1cr,,,,
2026-07-03,20,BUTTERFLY,692.8,6.06,105105.0,7.28,t0_5pct_liq1cr,Butterfly Gandhimathi,6.06,t0_5pct_liq1cr,,,,
2026-07-03,21,BANSALWIRE,363.9,5.69,177906.0,6.47,t0_5pct_liq1cr,Bansal Wire Industries,5.69,t0_5pct_liq1cr,,,,
2026-07-03,22,ELECTHERM,1200.3,10.0,41259.0,4.95,t0_5pct_liq1cr,Electrotherm India Ltd,10.0,t0_5pct_liq1cr,,,,
2026-07-03,23,AVG,228.32,9.22,135570.0,3.1,t0_5pct_liq1cr,AVG Logistics Ltd,9.22,t0_5pct_liq1cr,,,,
2026-07-03,24,ELGIRUBCO,54.8,18.92,364606.0,2.0,t0_5pct_liq1cr,Elgi Rubber Company,18.92,t0_5pct_liq1cr,,,,
2026-07-03,25,RKSWAMY,109.0,7.42,160391.0,1.75,t0_5pct_liq1cr,R K Swamy Ltd,7.42,t0_5pct_liq1cr,,,,
