date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct
2025-05-02,UNOMINDA,891.000000,908.000000,871.349976,874.700012,295317,,1.000000,,874.700012,874.700012,874.700012,874.700012,-3.667400,-3.667400,,,46.384689,0.091406,,,,0,0,
2025-05-05,ADANIPORTS,1290.000000,1377.000000,1285.699951,1347.099976,14191797,6.650305,1.140530,,1305.099976,1305.099976,1305.099976,1305.099976,-2.171389,-2.171389,2.129683,,32.749188,0.672508,,,,0,0,
2025-05-05,AEROENTER,79.900002,83.300003,78.500000,80.930000,328028,2.637922,1.336699,,79.889999,79.889999,79.889999,79.889999,-2.845141,-2.845141,1.331646,,49.375026,0.506250,,,,0,0,
2025-05-05,AFCONS,421.000000,423.000000,414.200012,416.450012,1144557,-0.608589,0.789847,,417.725006,417.725006,417.725006,417.725006,-1.757486,-1.757486,0.477327,,22.727304,0.255682,,,,0,0,
2025-05-05,APARINDS,5550.000000,5852.000000,5492.500000,5798.000000,100476,4.912693,1.392898,,5662.250000,5662.250000,5662.250000,5662.250000,-0.922761,-0.922761,0.425224,,15.020862,0.849791,,,,0,0,
2025-05-05,ASAHIINDIA,739.849976,740.000000,728.799988,736.700012,68085,1.369111,0.874202,,731.725006,731.725006,731.725006,731.725006,-0.445944,-0.445944,1.802542,,1.339502,0.705359,,,,0,0,
2025-05-05,BAJAJ-AUTO,7869.500000,7964.500000,7850.000000,7920.500000,250175,1.278691,0.794597,,7870.500000,7870.500000,7870.500000,7870.500000,-2.046747,-2.046747,0.626558,,38.427948,0.615721,,,,0,0,
2025-05-05,BBOX,378.000000,409.450012,376.200012,406.600006,600518,8.789299,1.580704,,390.175003,390.175003,390.175003,390.175003,-0.696057,-0.696057,1.137124,,8.571447,0.914286,,,,0,0,
2025-05-05,BHARATRAS,2350.500000,2383.500000,2343.000000,2346.625000,13860,-0.069200,1.240824,,2347.437500,2347.437500,2347.437500,2347.437500,-1.989141,-1.989141,0.095816,,81.481481,0.089506,,,,0,0,
2025-05-05,BLACKBUCK,418.000000,429.549988,418.000000,422.399994,66645,0.082930,0.277626,,422.224991,422.224991,422.224991,422.224991,-1.744592,-1.744592,-0.959599,,61.904774,0.380952,,,,0,0,
2025-05-05,BLUEJET,750.299988,757.049988,729.299988,742.000000,763503,3.393015,1.576829,,729.825012,729.825012,729.825012,729.825012,-1.987978,-1.987978,4.549566,,24.324324,0.457658,,,,0,0,
