SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,snapshot_dt
TITAN,EQ,2413.5,2482,2413,2450.35,2450,2399.1,2317115,5689647996,16-Mar-23,125902,16/03/23
TITAN,EQ,2467.15,2474,2447.4,2455.65,2460,2450.35,1625905,3999675317,17-Mar-23,105032,17/03/23
TITAN,EQ,2462,2474.95,2441.55,2459.95,2457,2455.65,918922,2256691322,20-Mar-23,65926,20/03/23
TITAN,EQ,2475,2521.55,2468.05,2514.05,2507,2459.95,1652107,4141432115,21-Mar-23,89897,21/03/23
TITAN,EQ,2517.95,2524,2495,2508.15,2510,2514.05,754732,1893686980,22-Mar-23,75903,22/03/23
TITAN,EQ,2510,2528,2494.05,2519.05,2516.8,2508.15,610778,1533593572,23-Mar-23,49469,23/03/23
TITAN,EQ,2516.8,2519.7,2474.95,2493.35,2485,2519.05,838919,2090927272,24-Mar-23,60562,24/03/23
TITAN,EQ,2480,2510,2466.8,2494.4,2494.9,2493.35,728727,1819322040,27-Mar-23,73023,27/03/23
TITAN,EQ,2502.9,2507.15,2493.9,2500.3,2500,2494.4,599191,1498321461,28-Mar-23,39686,28/03/23
TITAN,EQ,2500.3,2525,2494,2515.05,2521.55,2500.3,710603,1783698996,29-Mar-23,49186,29/03/23
TITAN,EQ,2526.95,2536.75,2500,2514.9,2514.9,2515.05,848456,2133166996,31-Mar-23,78428,31/03/23
TITAN,EQ,2525.9,2544.65,2513.3,2537.4,2536,2514.9,701713,1779078932,03-Apr-23,40354,03/04/23
TITAN,EQ,2560,2581.5,2550.1,2572.7,2572,2537.4,1438377,3698138205,05-Apr-23,60471,05/04/23
TITAN,EQ,2583,2584,2545,2548.45,2548,2572.7,1192271,3048905696,06-Apr-23,62956,06/04/23
TITAN,EQ,2568,2602,2561.05,2583.7,2578,2548.45,1497452,3867165552,10-Apr-23,72808,10/04/23
TITAN,EQ,2583.7,2603.5,2576,2580.05,2577.1,2583.7,820568,2126116628,11-Apr-23,70941,11/04/23
TITAN,EQ,2580.05,2593.45,2564.15,2587.9,2588,2580.05,553807,1427844312,12-Apr-23,43653,12/04/23
TITAN,EQ,2588,2599.95,2577.3,2585.65,2580,2587.9,481459,1246844448,13-Apr-23,42487,13/04/23
TITAN,EQ,2600,2612.25,2582.3,2605.6,2607.05,2585.65,1044487,2716711379,17-Apr-23,60674,17/04/23
TITAN,EQ,2603.05,2607.65,2560.1,2577.7,2575,2605.6,674756,1738730711,18-Apr-23,52711,18/04/23
TITAN,EQ,2580.05,2595.95,2562,2569.3,2566.05,2577.7,687292,1768555802,19-Apr-23,46026,19/04/23
TITAN,EQ,2577.65,2619,2570.5,2579.25,2575.35,2569.3,995472,2585654717,20-Apr-23,49552,20/04/23
TITAN,EQ,2593.6,2594.55,2559.25,2568.3,2573,2579.25,409932,1055865030,21-Apr-23,34242,21/04/23
TITAN,EQ,2571.1,2636.4,2570,2629.55,2625,2568.3,1026391,2677622024,24-Apr-23,54153,24/04/23
