date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-06-15,HAL,4235.000000,4344.000000,4202.600098,4284.700195,1049980,2.204050,1.027026,48.595455,4226.459961,4297.839990,4333.719985,4395.536005,-16.721085,-4.231109,1.018539,106.261662,41.937656,0.580623,1.101939,-0.966134,SIDEWAYS,1,1,-1.579414,0.719308,-41.799805,-58.210237,41.789763,20.797485,-11.705545,4464.241373,4131.438608,0.460518,7.743489,17.138121,2.480026,-42.086929,-30.846498,-11.240431,21.511484,4244.609228,4293.021610,16823221.000000,4306.476010,-0.073676,0.030519,4490.504082,-1.0,4474.000000,4148.799805,0.417898,3.300112,35.148677
2026-06-16,HAL,4299.799805,4314.700195,4240.500000,4255.799805,584663,-0.674502,0.596813,46.367060,4224.859961,4293.969971,4343.793979,4394.527003,-17.082965,-4.877072,0.352408,103.971557,20.081335,0.206196,-0.187626,-1.786218,SIDEWAYS,1,1,-1.319239,-0.530564,-77.400390,-60.252629,39.747371,31.637836,-14.214880,4460.508879,4127.431063,0.385402,7.756873,17.263531,2.443056,-39.204424,-32.518083,-6.686341,20.332806,4246.847344,4289.637810,16238558.000000,4303.513316,-0.096955,-0.436547,4490.504082,-1.0,4474.000000,4148.799805,0.329028,1.743508,59.299036
2026-06-17,HAL,4276.500000,4485.000000,4270.000000,4460.500000,1421845,4.809911,1.439663,60.265437,4273.119922,4300.669971,4357.079980,4394.911503,-13.094729,-0.546265,0.486400,112.916460,11.395349,0.886047,5.719089,3.097192,SIDEWAYS,1,1,-0.709701,4.605893,134.000000,-7.287325,92.712675,58.083270,55.444648,4482.773750,4118.566192,0.938843,8.468624,24.481324,2.531475,-20.169917,-30.048450,9.878533,20.224608,4289.577875,4305.170736,17660403.000000,4310.520502,-0.076655,0.478163,4490.504082,-1.0,4485.000000,4148.799805,0.927127,4.820087,85.581395
2026-06-18,HAL,4476.000000,4480.500000,4386.500000,4411.500000,851920,-1.098532,0.873849,56.491635,4320.959961,4302.724976,4367.159980,4395.245502,-14.049411,-1.638796,0.347495,111.565284,4.787234,0.265957,5.733054,0.940420,SIDEWAYS,1,1,-0.160107,5.261274,41.100098,-21.861974,78.138026,70.199357,65.034992,4489.021319,4116.428632,0.791941,8.659459,24.655727,2.528965,-8.935817,-25.825923,16.890107,20.124138,4313.962300,4314.837033,16808483.000000,4311.712556,-0.079936,-0.135426,4490.504082,-1.0,4485.000000,4148.799805,0.781380,2.130795,68.617021
2026-06-19,HAL,4411.500000,4435.600098,4385.700195,4408.100098,834712,-0.077069,0.856686,56.228534,4364.120020,4304.709985,4374.663984,4395.623002,-14.115653,-1.714602,0.000000,107.160614,48.296883,0.448897,5.147540,0.908804,SIDEWAYS,1,1,0.111165,4.534141,39.700196,-22.873247,77.126753,82.659151,55.562131,4494.760932,4114.659038,0.772006,8.829907,24.657727,2.430993,-0.303556,-20.721450,20.417894,20.020369,4332.789860,4323.315493,15973771.000000,4312.897991,-0.064564,-0.153748,4490.504082,-1.0,4485.000000,4148.799805,0.771268,1.132005,6.813444
2026-06-22,HAL,4424.100098,4528.500000,4386.000000,4515.200195,1337548,2.429620,1.353706,62.200681,4410.220020,4309.175000,4382.723984,4396.051002,-10.907652,-0.293691,0.362968,109.684856,9.333196,0.906668,5.379606,2.017675,SIDEWAYS,1,0,0.263737,6.540826,89.300293,-3.502712,96.497288,83.920689,86.555089,4514.774190,4103.575811,1.001036,9.542392,25.706518,2.429236,15.006668,-13.575826,28.582494,20.701030,4369.271927,4340.759557,17311319.000000,4318.407041,-0.037825,0.383332,4129.670760,1.0,4528.500000,4148.799805,0.964973,3.156006,63.929893
2026-06-23,HAL,4533.899902,4535.000000,4446.700195,4500.200195,1411631,-0.332211,1.398400,60.946461,4459.100098,4312.800000,4390.729990,4396.294503,-11.151033,-0.767361,0.414150,108.157352,1.245867,0.605890,5.742760,1.637419,SIDEWAYS,1,0,0.438523,5.544360,72.500000,-9.010820,90.989180,88.204407,89.969497,4529.457366,4096.142634,0.932481,10.047179,25.754314,2.403390,25.634261,-5.733809,31.368069,21.383283,4395.457580,4355.254160,15899688.000000,4325.558482,-0.033083,0.438762,4169.538840,1.0,4535.000000,4148.799805,0.909892,1.962131,38.165098
2026-06-24,HAL,4490.100098,4505.600098,4309.100098,4368.899902,975559,-2.917654,0.944284,51.212041,4440.780078,4310.594995,4393.323984,4395.884003,-13.743339,-3.662626,-0.224437,114.467541,7.888041,0.304325,-2.053584,-0.999322,SIDEWAYS,1,0,0.230779,3.548059,-44.100098,-43.008807,56.991193,81.492553,41.315881,4523.829181,4097.360809,0.636716,9.893492,27.869566,2.620054,23.194496,0.051852,23.142644,20.292637,4390.146045,4356.494682,14924129.000000,4326.265911,-0.032619,-0.063330,4169.538840,1.0,4535.000000,4148.799805,0.569912,4.497700,61.679489
2026-06-25,HAL,4384.899902,4409.899902,4351.200195,4368.700195,731421,-0.004571,0.683769,51.198646,4432.220117,4308.380005,4393.429990,4395.543004,-13.747281,-3.667030,0.366225,110.484125,42.589650,0.298128,-0.970187,-1.003848,SIDEWAYS,1,0,0.131429,4.707245,-44.299805,-43.060518,56.939482,68.306618,33.658889,4518.025415,4098.734594,0.643862,9.731983,27.869493,2.528993,21.002744,4.242031,16.760713,19.279894,4385.856875,4357.604274,14192708.000000,4327.986757,-0.045307,-0.384670,4169.538840,1.0,4535.000000,4148.799805,0.569395,1.343642,27.597594
2026-06-26,HAL,4368.700195,4368.700195,4368.700195,4368.700195,0,0.000000,0.000000,51.198646,4424.340136,4311.625024,4393.041992,4395.362506,-13.747281,-3.667030,0.000000,102.592401,,,-0.893807,1.507979,SIDEWAYS,2,0,0.160639,4.207724,64.900390,-44.346615,55.653385,56.528020,30.004971,4522.974142,4100.275907,0.635026,9.803687,26.339963,2.348351,19.046212,7.202867,11.843345,18.339490,4382.425539,4358.612994,14192708.000000,4328.612708,0.052821,-2.395400,4169.538840,1.0,4535.000000,4148.799805,0.569395,0.000000,
