date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-07-01,POONAWALLA,441.100006,447.299988,434.399994,442.149994,1181400,0.249406,0.640396,64.196653,438.449994,410.147501,413.334000,413.205833,-5.584026,-1.151351,0.011341,12.812706,39.922452,0.600775,3.269882,10.731282,N/A,0,0,2.827362,9.105489,42.850006,-7.197756,92.802244,90.346392,99.898880,456.695686,363.599315,0.843757,22.698266,35.425123,2.897819,9.923220,5.469048,4.454172,23.455582,430.755336,418.824392,34069467.000000,414.176914,0.139320,-0.281741,404.004950,1.000000,447.299988,370.049988,0.933333,2.917561,8.139444
2026-07-02,POONAWALLA,443.299988,459.000000,436.899994,456.899994,2003278,3.335972,1.076194,69.583451,441.769995,413.325000,414.069000,413.922131,-2.434336,-0.457518,0.260091,13.476085,9.502287,0.904977,3.770158,16.156092,SIDEWAYS,3,0,3.032456,12.954263,63.549988,-3.445456,96.554544,95.717641,114.824236,463.574261,363.075739,0.933588,24.314649,35.906154,2.949460,11.605205,6.696279,4.908926,23.724446,435.984268,422.285810,36072745.000000,416.994194,0.210004,0.060238,406.815229,1.000000,459.000000,370.049988,0.976391,4.836946,61.538472
2026-07-03,POONAWALLA,458.000000,466.100006,453.700012,460.950012,1697203,0.886412,0.906090,70.879026,445.900000,416.880000,414.957001,414.680645,-1.569502,-1.104912,0.240754,13.399221,41.532229,0.584678,4.689990,18.237785,SIDEWAYS,3,0,3.179819,8.026716,71.100006,-7.612704,92.387296,93.914694,123.837192,470.108406,363.651594,0.913971,25.536560,35.362958,2.906871,13.113825,7.979788,5.134037,24.398394,440.977416,425.800738,37769948.000000,419.937162,0.241782,-0.074756,419.158720,1.000000,466.100006,370.049988,0.946382,2.690095,23.790433
2026-07-06,POONAWALLA,464.000000,480.899994,461.049988,476.350006,2773077,3.340925,1.401540,75.203991,455.479999,421.645001,416.084001,415.659524,-0.946140,-0.946140,0.661674,13.867133,22.921846,0.770782,11.179833,25.009847,SIDEWAYS,3,0,3.893752,12.161524,95.300018,-5.659189,94.340811,94.427550,136.760208,478.319115,364.970887,0.982628,26.882384,34.378153,2.911123,15.374836,9.458798,5.916038,25.763483,448.051934,430.396126,40543025.000000,424.265718,0.274284,0.339060,428.322836,1.000000,480.899994,370.049988,0.958954,4.167105,62.216636
2026-07-07,POONAWALLA,478.649994,479.799988,469.000000,471.750000,2156880,-0.965678,1.054890,71.774954,461.620001,426.047501,417.201001,416.535938,-1.902681,-1.902681,0.482836,13.648051,10.648104,0.254630,6.960665,22.947611,SIDEWAYS,3,0,4.422127,10.765439,88.049988,-11.408973,88.591027,91.773045,119.226137,483.976379,368.118622,0.894471,27.193624,35.162511,2.893069,16.604120,10.887862,5.716258,27.031067,452.791548,434.155569,38386145.000000,427.688098,0.242118,0.048212,432.773058,1.000000,480.899994,370.049988,0.917456,2.289346,63.888905
2026-07-08,POONAWALLA,465.000000,478.399994,454.549988,457.950012,3122168,-2.925276,1.436404,62.559263,464.780005,429.935001,417.935001,417.173077,-4.772298,-4.772298,-1.430843,14.376762,56.184446,0.142559,3.573452,20.449763,SIDEWAYS,3,0,4.824484,6.960182,77.750000,-28.615944,71.384056,84.771965,81.953742,485.287195,374.582806,0.753061,25.749099,37.320831,3.139374,16.277160,11.965722,4.311438,26.678903,453.823240,436.318700,35263977.000000,430.848021,0.182330,0.410338,432.773058,1.000000,480.899994,370.049988,0.792964,5.207993,29.559690
2026-07-09,POONAWALLA,458.600006,469.100006,458.600006,465.000000,790473,1.539467,0.363645,65.029566,466.400006,434.560001,418.891001,417.897728,-3.306299,-3.306299,0.141936,14.146278,39.047677,0.609523,1.772818,24.832215,SIDEWAYS,4,0,5.137604,5.609814,92.500000,-24.593960,75.406040,78.460374,71.427750,484.940288,384.179714,0.802102,23.186804,35.645755,3.042210,16.397892,12.852156,3.545736,26.351894,456.058592,438.926091,36054450.000000,432.477865,0.196001,-0.598409,432.773058,1.000000,480.899994,375.750000,0.848787,2.258065,60.952323
2026-04-08,POWERGRID,301.000000,301.750000,293.600006,294.850006,10887876,,1.000000,,294.850006,294.850006,294.850006,294.850006,-2.286659,-2.286659,,,9.202461,0.153374,,,N/A,0,0,,,,-84.662565,15.337435,15.337435,,,,,,,,0.000000,0.000000,0.000000,,294.850006,294.850006,0.000000,296.733337,-0.693251,,,-1.000000,301.750000,293.600006,0.153374,2.764115,75.460104
2026-04-09,POWERGRID,295.450012,300.700012,293.850006,298.100006,17644642,1.102255,1.236809,,296.475006,296.475006,296.475006,296.475006,-1.209609,-1.209609,0.203495,,37.956260,0.620437,,,N/A,0,0,,,,-44.785235,55.214765,35.276100,133.333333,301.071200,291.878812,0.676777,3.100561,,,0.259259,0.051852,0.207407,,295.500006,295.145461,17644642.000000,297.238370,-0.115583,0.707107,,-1.000000,301.750000,293.600006,0.552148,2.297889,38.686008
2026-04-10,POWERGRID,301.100006,303.500000,299.750000,302.750000,13245074,1.559877,0.951113,,298.566671,298.566671,298.566671,298.566671,-0.247117,-0.247117,1.006374,,20.000000,0.800000,,,N/A,0,0,,,,-7.575762,92.424238,54.325479,177.608406,306.507907,290.625435,0.763393,5.319573,5.136792,,0.830368,0.207555,0.622813,,296.950005,295.836782,30889716.000000,298.747987,0.111284,-0.198513,,-1.000000,303.500000,293.600006,0.924242,1.238646,43.999837
