rsi_min,rsi_max,vol_min,dist_min,dist_max,adx_min,slope_min,cmf_min,range_pct_max,atr_pct_max,body_pct_min,trades,win_rate,avg_pct,targets,stops,times
58,70,1.0,-5,0.0,15,0.2,0.0,,,,32,65.625,1.656413646684583,3,5,24
58,70,1.0,-5,0.0,15,0.2,0.0,,,0.3,32,65.625,1.656413646684583,3,5,24
58,70,1.0,-5,0.0,15,0.2,0.0,,,0.5,32,65.625,1.656413646684583,3,5,24
58,70,1.0,-5,0.0,15,0.2,0.0,,4.0,,21,71.42857142857143,1.8379338439140893,1,1,19
58,70,1.0,-5,0.0,15,0.2,0.0,,4.0,0.3,21,71.42857142857143,1.8379338439140893,1,1,19
58,70,1.0,-5,0.0,15,0.2,0.0,,4.0,0.5,21,71.42857142857143,1.8379338439140893,1,1,19
58,70,1.0,-5,0.0,15,0.2,0.0,,3.5,,15,80.0,2.1508524967145846,1,0,14
58,70,1.0,-5,0.0,15,0.2,0.0,,3.5,0.3,15,80.0,2.1508524967145846,1,0,14
58,70,1.0,-5,0.0,15,0.2,0.0,,3.5,0.5,15,80.0,2.1508524967145846,1,0,14
58,70,1.0,-5,0.0,15,0.2,0.0,,3.0,,10,80.0,2.1425320659994,1,0,9
58,70,1.0,-5,0.0,15,0.2,0.0,,3.0,0.3,10,80.0,2.1425320659994,1,0,9
58,70,1.0,-5,0.0,15,0.2,0.0,,3.0,0.5,10,80.0,2.1425320659994,1,0,9
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,,,19,73.68421052631578,1.9013993414526016,1,1,17
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,,0.3,19,73.68421052631578,1.9013993414526016,1,1,17
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,,0.5,19,73.68421052631578,1.9013993414526016,1,1,17
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,4.0,,16,75.0,2.1194643223888017,1,0,15
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,4.0,0.3,16,75.0,2.1194643223888017,1,0,15
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,4.0,0.5,16,75.0,2.1194643223888017,1,0,15
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,3.5,,13,76.92307692307693,1.7486946665388066,1,0,12
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,3.5,0.3,13,76.92307692307693,1.7486946665388066,1,0,12
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,3.5,0.5,13,76.92307692307693,1.7486946665388066,1,0,12
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,3.0,,9,77.77777777777779,2.301887851110445,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,3.0,0.3,9,77.77777777777779,2.301887851110445,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,5.0,3.0,0.5,9,77.77777777777779,2.301887851110445,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,,,13,76.92307692307693,2.7800178225170247,1,0,12
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,,0.3,13,76.92307692307693,2.7800178225170247,1,0,12
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,,0.5,13,76.92307692307693,2.7800178225170247,1,0,12
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,4.0,,12,75.0,2.367241752171222,1,0,11
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,4.0,0.3,12,75.0,2.367241752171222,1,0,11
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,4.0,0.5,12,75.0,2.367241752171222,1,0,11
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,3.5,,11,72.72727272727273,1.9392015308981227,1,0,10
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,3.5,0.3,11,72.72727272727273,1.9392015308981227,1,0,10
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,3.5,0.5,11,72.72727272727273,1.9392015308981227,1,0,10
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,3.0,,8,75.0,2.4861470091431648,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,3.0,0.3,8,75.0,2.4861470091431648,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,4.0,3.0,0.5,8,75.0,2.4861470091431648,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,,,9,77.77777777777779,2.2518478478509802,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,,0.3,9,77.77777777777779,2.2518478478509802,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,,0.5,9,77.77777777777779,2.2518478478509802,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,4.0,,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,4.0,0.3,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,4.0,0.5,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,3.5,,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,3.5,0.3,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,3.5,0.5,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,3.0,,7,71.42857142857143,1.6052013476013531,1,0,6
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,3.0,0.3,7,71.42857142857143,1.6052013476013531,1,0,6
58,70,1.0,-5,0.0,15,0.2,0.0,3.5,3.0,0.5,7,71.42857142857143,1.6052013476013531,1,0,6
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,,,9,77.77777777777779,2.2518478478509802,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,,0.3,9,77.77777777777779,2.2518478478509802,1,0,8
