rsi_min,rsi_max,vol_min,dip_min,dip_max,ma20_mult,slope_min,adx_min,roc_10_min,cci_20_min,macd_hist_min,atr_pct_max,trades,win_rate,avg_pct,targets,stops,times
48,65,0.8,-15,-5,0.96,0.0,20,1.0,40.0,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,20,1.0,40.0,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,-0.5,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,-0.5,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,0.0,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,0.0,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,1.0,60.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,,,8,75.0,5.723254774640833,3,0,5
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,,5.0,4,75.0,3.398578357108668,1,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,,4.0,1,100.0,2.088473459028277,0,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,-0.5,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,-0.5,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,-0.5,4.0,0,0.0,0.0,0,0,0
