Date,Rank,Symbol,Sector,Previous Close (₹),Current Close (₹),Daily Gain (%),Volume,Value Traded (₹ Cr)
2026-05-29,2,OLAELEC,EV/Auto,39.24,41.49,5.73,"326,178,767",1353.32
2026-06-02,1,TCS,IT,2297.4,2446.9,6.51,"11,306,127",2766.5
2026-06-02,2,APOLLO,Pharma,404.15,437.0,8.13,"42,775,590",1869.29
2026-06-02,3,NEWGEN,Software,441.5,518.1,17.35,"35,273,385",1827.51
2026-06-02,4,AEROFLEX,Aerospace,388.35,419.45,8.01,"2,773,192",116.32
2026-06-03,1,ATHERENERG,Renewables,960.6,1022.05,6.4,"13,219,934",1351.14
2026-06-03,2,OLAELEC,EV/Auto,39.83,43.74,9.82,"266,948,059",1167.63
2026-06-03,3,CARTRADE,Internet/Auto,1795.0,1961.7,9.29,"3,224,564",632.56
2026-06-03,4,GOCOLORS,Paints,336.05,376.7,12.1,"10,848,125",408.65
2026-06-04,1,PARAS,Defence,839.35,893.8,6.49,"7,313,338",653.67
2026-06-04,2,FORCEMOT,Auto,17502.0,18592.0,6.23,"214,233",398.3
2026-06-04,3,GOCOLORS,Paints,376.7,401.65,6.62,"7,759,554",311.66
2026-06-05,1,PARAS,Defence,893.8,960.15,7.42,"14,940,270",1434.49
2026-06-05,2,JYOTICNC,Auto,598.0,634.3,6.07,"7,789,421",494.08
2026-06-08,1,CARTRADE,Internet/Auto,1958.4,2069.8,5.69,"1,601,009",331.38
2026-06-09,1,OLAELEC,EV/Auto,44.43,47.34,6.55,"494,797,034",2342.37
2026-06-09,2,PARAS,Defence,964.75,1039.15,7.71,"8,486,137",881.84
2026-06-09,3,CARTRADE,Internet/Auto,2069.8,2187.6,5.69,"1,932,675",422.79
2026-06-09,4,MOTILALOFS,Brokers,821.15,864.3,5.25,"1,784,522",154.24
2026-06-09,5,AEROFLEX,Aerospace,399.0,425.7,6.69,"2,062,063",87.78
2026-06-12,1,NETWEB,IT Services,4191.4,4587.4,9.45,"4,344,896",1993.18
2026-06-12,2,APOLLO,Pharma,381.75,409.4,7.24,"24,583,322",1006.44
2026-06-12,3,PARAS,Defence,989.1,1097.15,10.92,"6,088,215",667.97
2026-06-12,4,MOTILALOFS,Brokers,831.6,888.45,6.84,"3,169,428",281.59
2026-06-12,5,MUTHOOTFIN,NBFC,2890.0,3042.2,5.27,"733,004",222.99
2026-06-12,6,JYOTICNC,Auto,632.9,681.7,7.71,"2,844,588",193.92
2026-06-12,7,AEROFLEX,Aerospace,408.55,448.1,9.68,"2,868,692",128.55
2026-06-12,8,NUVAMA,Brokers,1510.2,1588.1,5.16,"474,650",75.38
2026-06-12,9,LLOYDSENGG,Capital Goods,66.73,70.94,6.31,"7,051,380",50.02
2026-06-15,1,KALYANKJIL,Jewellery,344.75,383.0,11.09,"39,244,670",1503.07
2026-06-15,2,TRENT,Retail,2755.3,2901.1,5.29,"2,230,325",647.04
2026-06-15,3,APARINDS,Auto,15221.0,15986.0,5.03,"235,859",377.04
2026-06-15,4,AEROFLEX,Aerospace,448.1,478.0,6.67,"5,416,719",258.92
2026-06-15,5,MOTILALOFS,Brokers,888.45,939.45,5.74,"2,438,845",229.12
2026-06-15,6,UNOMINDA,NBFC,1057.7,1125.7,6.43,"1,344,806",151.38
2026-06-16,1,NETWEB,IT Services,4612.3,4884.4,5.9,"3,126,893",1527.3
2026-06-16,2,LLOYDSENGG,Capital Goods,71.35,79.94,12.04,"100,068,323",799.95
2026-06-16,3,TARSONS,Lab Equipment,206.73,238.73,15.48,"4,321,347",103.16
