Date,Rank,Symbol,Previous Close (₹),Current Close (₹),Daily Gain (%),Volume,Value Traded (₹ Cr)
2026-04-13,1,ATHERENERG,863.05,907.85,5.19,"27,333,392",2481.46
2026-04-13,2,NTPCGREEN,97.17,104.23,7.27,"91,182,889",950.40
2026-04-13,3,NIACL,155.71,171.67,10.25,"29,343,939",503.75
2026-04-13,4,JAYNECOIND,81.69,87.11,6.63,"15,791,194",137.56
2026-04-15,1,NETWEB,3309.40,3563.70,7.68,"3,228,438",1150.52
2026-04-15,2,RPOWER,26.11,28.94,10.84,"250,087,845",723.75
2026-04-15,3,PARAS,705.90,754.85,6.93,"3,850,875",290.68
2026-04-15,4,NEWGEN,445.15,472.80,6.21,"4,015,524",189.85
2026-04-15,5,JAYNECOIND,87.11,91.64,5.20,"13,374,874",122.57
2026-04-15,6,LLOYDSENGG,48.77,51.77,6.15,"6,050,881",31.33
2026-04-16,1,GMDCLTD,622.30,746.75,20.00,"51,557,208",3850.03
2026-04-16,2,JAYNECOIND,91.64,98.70,7.70,"20,177,670",199.15
2026-04-17,1,APOLLO,242.17,282.90,16.82,"53,344,279",1509.11
2026-04-17,2,OLAELEC,38.68,40.82,5.53,"351,314,724",1434.07
2026-04-17,3,AEROFLEX,296.23,311.23,5.06,"5,323,968",165.70
2026-04-20,1,JYOTICNC,707.30,743.45,5.11,"8,578,450",637.76
2026-04-21,1,MASTEK,1682.90,1768.30,5.07,"182,647",32.30
2026-04-22,1,RPOWER,28.35,30.25,6.70,"130,508,684",394.79
2026-04-22,2,AEROFLEX,289.11,304.52,5.33,"3,362,999",102.41
2026-04-22,3,LLOYDSENGG,55.92,59.07,5.63,"16,054,819",94.84
2026-04-27,1,SUNPHARMA,1620.40,1733.50,6.98,"26,995,361",4679.65
2026-04-27,2,APOLLO,283.90,301.19,6.09,"26,167,705",788.15
2026-04-27,3,HFCL,100.22,106.69,6.46,"54,279,670",579.11
2026-04-27,4,ATHERENERG,883.00,941.20,6.59,"4,710,737",443.37
2026-04-27,5,JAYNECOIND,95.78,104.05,8.63,"38,059,284",396.01
2026-04-27,6,NTPCGREEN,110.31,118.86,7.75,"30,036,760",357.02
2026-04-27,7,NEWGEN,462.75,491.55,6.22,"3,995,896",196.42
2026-04-27,8,APARINDS,11532.00,12135.00,5.23,"133,569",162.09
2026-04-27,9,AEROFLEX,277.87,294.90,6.13,"3,333,027",98.29
2026-04-27,10,BBOX,550.10,579.65,5.37,"1,006,912",58.37
2026-04-28,1,BBOX,579.65,639.85,10.39,"8,016,542",512.94
2026-04-28,2,JAYNECOIND,104.05,109.81,5.54,"21,294,552",233.84
2026-04-29,1,GRSE,2875.30,3072.70,6.87,"17,027,141",5231.93
2026-04-30,1,HFCL,107.10,116.03,8.34,"234,723,195",2723.49
2026-04-30,2,NEWGEN,480.15,505.75,5.33,"12,685,665",641.58
2026-05-04,1,HFCL,116.03,126.04,8.63,"180,555,133",2275.72
2026-05-04,2,HAL,4338.80,4559.50,5.09,"2,841,170",1295.43
2026-05-04,3,NEULANDLAB,15003.00,16124.00,7.47,"208,282",335.83
2026-05-05,1,NETWEB,3927.70,4178.10,6.38,"3,065,109",1280.63
2026-05-05,2,BBOX,661.30,701.95,6.15,"1,680,098",117.93
2026-05-05,3,AEROFLEX,302.35,318.05,5.19,"3,303,048",105.05
2026-05-06,1,COFORGE,1168.80,1280.40,9.55,"26,656,460",3413.09
2026-05-06,2,HFCL,128.77,141.46,9.85,"167,554,753",2370.23
2026-05-06,3,INDIGO,4238.40,4520.20,6.65,"2,657,960",1201.45
2026-05-06,4,FORCEMOT,18963.00,20173.00,6.38,"256,402",517.24
2026-05-06,5,CARTRADE,1645.60,1807.30,9.83,"2,276,391",411.41
2026-05-06,6,AEROFLEX,318.05,344.70,8.38,"10,678,433",368.09
2026-05-06,7,NEULANDLAB,16204.00,17032.00,5.11,"106,686",181.71
2026-05-06,8,TARSONS,215.70,228.26,5.82,"184,294",4.21
2026-05-07,1,CARTRADE,1807.30,1921.80,6.34,"5,497,004",1056.41
2026-05-07,2,AEROFLEX,344.70,413.60,19.99,"18,954,871",783.97
2026-05-07,3,PARAS,805.10,869.50,8.00,"5,329,874",463.43
2026-05-07,4,LLOYDSENGG,57.97,61.27,5.69,"15,751,284",96.51
2026-05-08,1,COFORGE,1285.30,1368.10,6.44,"9,375,709",1282.69
2026-05-08,2,NUVAMA,1460.53,1616.04,10.65,"5,943,190",960.45
2026-05-08,3,AEROFLEX,413.60,439.35,6.23,"18,112,356",795.77
2026-05-11,1,HFCL,141.15,148.46,5.18,"112,674,256",1672.76
2026-05-11,2,ATHERENERG,915.05,969.45,5.95,"13,473,062",1306.15
2026-05-11,3,LLOYDSENGG,62.87,66.16,5.23,"26,471,055",175.13
2026-05-11,4,BBOX,748.40,788.10,5.30,"2,113,955",166.60
2026-05-12,1,BBOX,788.10,829.15,5.21,"10,494,889",870.18
2026-05-13,1,NIACL,159.64,168.08,5.29,"4,243,831",71.33
2026-05-14,1,BHARTIARTL,1789.20,1883.50,5.27,"21,279,151",4007.93
2026-05-14,2,TATACOMM,1558.80,1656.10,6.24,"1,323,852",219.24
2026-05-19,1,APOLLO,311.00,340.70,9.55,"114,856,385",3913.16
2026-05-19,2,IDBI,69.50,73.56,5.84,"17,526,384",128.92
2026-05-19,3,MASTEK,1552.00,1660.90,7.02,"193,781",32.19
2026-05-20,1,TATACOMM,1646.60,1775.60,7.83,"3,191,014",566.60
2026-05-21,1,KAYNES,3001.00,3174.90,5.79,"2,230,040",708.02
2026-05-21,2,TATACOMM,1775.60,1896.30,6.80,"1,722,042",326.55
2026-05-21,3,GOCOLORS,254.40,301.45,18.49,"8,323,686",250.92
2026-05-22,1,AEROFLEX,379.95,403.05,6.08,"3,582,977",144.41
2026-05-27,1,HFCL,161.80,173.92,7.49,"79,961,509",1390.69
2026-05-27,2,NETWEB,3851.70,4072.00,5.72,"1,579,910",643.34
2026-05-27,3,APARINDS,12536.00,13426.00,7.10,"241,856",324.72
2026-05-29,1,NETWEB,4072.00,4670.70,14.70,"10,623,544",4961.94
2026-05-29,2,OLAELEC,39.24,41.49,5.73,"326,178,767",1353.32
2026-06-02,1,TCS,2297.40,2446.90,6.51,"11,306,127",2766.50
2026-06-02,2,APOLLO,404.15,437.00,8.13,"42,775,590",1869.29
2026-06-02,3,NEWGEN,441.50,518.10,17.35,"35,273,385",1827.51
2026-06-02,4,AEROFLEX,388.35,419.45,8.01,"2,773,192",116.32
2026-06-03,1,ATHERENERG,960.60,1022.05,6.40,"13,219,934",1351.14
2026-06-03,2,OLAELEC,39.83,43.74,9.82,"266,948,059",1167.63
2026-06-03,3,CARTRADE,1795.00,1961.70,9.29,"3,224,564",632.56
2026-06-03,4,GOCOLORS,336.05,376.70,12.10,"10,848,125",408.65
2026-06-04,1,PARAS,839.35,893.80,6.49,"7,313,338",653.67
2026-06-04,2,FORCEMOT,17502.00,18592.00,6.23,"214,233",398.30
2026-06-04,3,GOCOLORS,376.70,401.65,6.62,"7,759,554",311.66
2026-06-05,1,PARAS,893.80,960.15,7.42,"14,940,270",1434.49
2026-06-05,2,JYOTICNC,598.00,634.30,6.07,"7,789,421",494.08
2026-06-08,1,CARTRADE,1958.40,2069.80,5.69,"1,601,009",331.38
2026-06-09,1,OLAELEC,44.43,47.34,6.55,"494,797,034",2342.37
2026-06-09,2,PARAS,964.75,1039.15,7.71,"8,486,137",881.84
2026-06-09,3,CARTRADE,2069.80,2187.60,5.69,"1,932,675",422.79
2026-06-09,4,MOTILALOFS,821.15,864.30,5.25,"1,784,522",154.24
2026-06-09,5,AEROFLEX,399.00,425.70,6.69,"2,062,063",87.78
2026-06-12,1,NETWEB,4191.40,4587.40,9.45,"4,344,896",1993.18
2026-06-12,2,APOLLO,381.75,409.40,7.24,"24,583,322",1006.44
2026-06-12,3,PARAS,989.10,1097.15,10.92,"6,088,215",667.97
